component,label,raw_score,baseline_iq,pool_n,below,equal,above,full_pool_percentile,full_pool_percentile_iq,group_size,effective_group_size,sampling,simulated_draws,exact_mean,exact_sd,exact_p025,exact_p975,exact_prob_more_than_5_points,exact_prob_more_than_10_points,empirical_mean,empirical_sd,empirical_p025,empirical_p975,empirical_prob_more_than_5_points,empirical_prob_more_than_10_points,maximum_empirical_cdf_error
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,20,20,with_replacement,1000000,101.0931247511796,3.964754584293319,93,109,0.18718041243878178,0.009838009533375231,101.093944,3.964909144591336,93,109,0.187171,0.009985,0.0005086797949924726
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,20,20,without_replacement,1000000,101.06744038734145,3.5265235000680186,94,109,0.14366626789099154,0.004319619629799976,101.061386,3.52875952127713,94,109,0.14382699999999998,0.004260999999999999,0.00142383730456222
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,25,25,with_replacement,1000000,101.02996903508446,3.6348067350048257,94,108,0.13274951080970088,0.004221277428805077,101.035443,3.632148509319381,94,108,0.132331,0.004243,0.0007948658083377635
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,25,25,without_replacement,1000000,101.01137217197159,3.172487670908569,95,107,0.08623136070511236,0.0011289366306293433,101.01559799999998,3.172255459826021,95,107,0.086073,0.001147,0.0007105674274316964
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,30,30,with_replacement,1000000,101.05464712060186,3.26962482198813,95,107,0.09553185284887217,0.0018346287073232811,101.05520999999999,3.2700229136658967,95,107,0.09563100000000001,0.001836,0.00035725819688459115
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,30,30,without_replacement,1000000,101.03398391299942,2.7539141026767933,96,107,0.049784662846448995,0.00025578763938977577,101.035134,2.7545176713980255,96,107,0.050089999999999996,0.000246,0.0008555226642796843
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,35,35,with_replacement,1000000,101.05117406980884,3.0213345493966903,95,107,0.08188144524344149,0.0008059274349651574,101.048601,3.02443696294021,95,107,0.08215,0.0008550000000000001,0.0004429842412655427
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,35,35,without_replacement,1000000,101.02340785022979,2.4543793200726993,97,106,0.03359862346542866,4.854606304056723e-05,101.024746,2.4538988641514954,97,106,0.033691,3.8e-05,0.0007159715070484962
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,40,40,with_replacement,1000000,100.99748410017574,2.7806322814126188,95,107,0.05951356115248603,0.00035703773234161405,100.994876,2.7833932069731,95,107,0.059941,0.00033299999999999996,0.0004485447893236086
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,40,40,without_replacement,1000000,100.98470398705045,2.1443602130848554,97,105,0.01702416541616987,7.390628509316493e-06,100.98265699999999,2.144302735238427,97,105,0.016927,4.9999999999999996e-06,0.0006471757163760694
